Championship,Team A,Team B,Score,Time
الدوري الإسباني,ريال بيتيس,برشلونة,1 - 2,22:00
الدوري الإسباني,جيرونا,اسبانيول,2 - 1,14:00
الدوري الإسباني,أتلتيك بلباو,خيتافي,0 - 0,16:15
الدوري الإسباني,قادش,اشبيلية,0 - 2,18:30
الدوري الإسباني,إلتشي,برشلونة,0 - 4,21:00
دوري أبطال أفريقيا,بترو أتليتكو,فيتا كلوب,1 - 0,18:00
دوري أبطال أفريقيا,الأهلي,الهلال السوداني,3 - 0,21:00
دوري أبطال أفريقيا,ماميلودي صنداونز,القطن الكاميروني,2 - 1,21:00
دوري أبطال أفريقيا,الوداد البيضاوي,شبيبة القبــــائل,3 - 0,23:59
دوري أبطال أفريقيا,الترجى الرياضي,شباب بلوزداد,0 - 0,23:59
الدوري الإسباني,مايوركا,أتلتيك بلباو,1 - 1,20:00
الدوري الإسباني,اشبيلية,جيرونا,0 - 2,22:00
بطولة أمم أفريقيا تحت 23,النيجر الأولمبي,مالي الأولمبي,0 - 2,23:00
بطولة أمم أفريقيا تحت 23,الجابون الأولمبي,مصر الأولمبي,0 - 2,23:00
مباريات ودية -أندية,باريس سان جيرمان,إنتر ميلان,1 - 2,13:00
الدوري الإنجليزي,لوتون تاون,وست هام يونايتد,1 - 2,22:00
الدوري الإسباني,قادش,فياريال,3 - 1,20:30
الدوري الإسباني,الميريا,سيلتا فيجو,2 - 3,23:00
الدوري السعودي,الفيحاء,الرائد,0 - 0,18:00
الدوري السعودي,الطــائي,أبها,1 - 0,18:00
الدوري السعودي,الرياض,الأخدود,0 - 1,21:00
الدوري السعودي,الاتحاد,الهلال,3 - 4,21:00
الدوري الإيطالي,ساسولو,هيلاس فيرونا,3 - 1,19:30
الدوري الإيطالي,روما,ميلان,1 - 2,21:45
الدوري الألماني,بروسيا دورتموند,هايدنهايم,2 - 2,21:30
الدوري الفرنسي,نانت,مارسيليا,1 - 1,22:00
الدوري المغربي,الشباب الرياضي السالمي,حسنية اغادير,1 - 0,23:30
الدوري التركي,قاسم باشا,طرابزون سبور,1 - 5,21:00
الدوري التركي,ريزه سبور,فاتح كاراجومروك,1 - 0,21:00
الدوري البرتغالي,فيزيلا,جل فيسنتي,1 - 0,22:15
دوري نجوم قطر,الأهلي القطري,الغرافة,1 - 4,18:15
دوري نجوم قطر,ام صلال,نادي قطر,2 - 2,20:15
دوري نجوم قطر,معيذر,المرخية الرياضي,5 - 2,20:15
